Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions)
Season 1,1,1.0,"""A Hard Day's Night""",https://greysanatomy.fandom.com/wiki/A_Hard_Day%27s_Night,"March 27, 2005",16.25[1]
Season 1,2,2.0,"""The First Cut Is the Deepest""",https://greysanatomy.fandom.com/wiki/The_First_Cut_Is_the_Deepest,"April 3, 2005",17.71[2]
Season 1,3,3.0,"""Winning a Battle, Losing the War""","https://greysanatomy.fandom.com/wiki/Winning_a_Battle,_Losing_the_War","April 10, 2005",17.99[3]
Season 1,4,4.0,"""No Man's Land""",https://greysanatomy.fandom.com/wiki/No_Man%27s_Land,"April 17, 2005",19.18[4]
,,,,,,
Season 1,6,6.0,"""If Tomorrow Never Comes""",https://greysanatomy.fandom.com/wiki/If_Tomorrow_Never_Comes,"May 1, 2005",17.88[6]
Season 1,7,7.0,"""The Self-Destruct Button""",https://greysanatomy.fandom.com/wiki/The_Self-Destruct_Button,"May 8, 2005",18.86[7]
,,,,,,
Season 1,9,9.0,"""Who's Zoomin' Who?""",https://greysanatomy.fandom.com/wiki/Who%27s_Zoomin%27_Who%3F,"May 22, 2005",22.22[9]
,,,,,,
Season 2,11,2.0,"""Enough is Enough""",https://greysanatomy.fandom.com/wiki/Enough_is_Enough,"October 2, 2005",17.57[11]
Season 2,12,3.0,"""Make Me Lose Control""",https://greysanatomy.fandom.com/wiki/Make_Me_Lose_Control,"October 9, 2005",18.12[12]
Season 2,13,4.0,"""Deny, Deny, Deny""","https://greysanatomy.fandom.com/wiki/Deny,_Deny,_Deny","October 16, 2005",18.28[13]
Season 2,14,5.0,"""Bring the Pain""",https://greysanatomy.fandom.com/wiki/Bring_the_Pain,"October 23, 2005",18.00[14]
Season 2,15,6.0,"""Into You Like a Train""",https://greysanatomy.fandom.com/wiki/Into_You_Like_a_Train,"October 30, 2005",16.67[15]
Season 2,16,7.0,"""Something to Talk About""",https://greysanatomy.fandom.com/wiki/Something_to_Talk_About,"November 6, 2005",18.13[16]
Season 2,17,8.0,"""Let It Be""",https://greysanatomy.fandom.com/wiki/Let_It_Be,"November 13, 2005",19.74[17]
,,,,,,
Season 2,19,10.0,"""Much too Much""",https://greysanatomy.fandom.com/wiki/Much_too_Much,"November 27, 2005",19.59[19]
Season 2,20,11.0,"""Owner of a Lonely Heart""",https://greysanatomy.fandom.com/wiki/Owner_of_a_Lonely_Heart,"December 4, 2005",20.59[20]
Season 2,21,12.0,"""Grandma Got Run Over By a Reindeer""",https://greysanatomy.fandom.com/wiki/Grandma_Got_Run_Over_By_a_Reindeer,"December 11, 2005",15.70[21]
Season 2,22,13.0,"""Begin the Begin""",https://greysanatomy.fandom.com/wiki/Begin_the_Begin,"January 15, 2006",18.97[22]
Season 2,23,14.0,"""Tell Me Sweet Little Lies""",https://greysanatomy.fandom.com/wiki/Tell_Me_Sweet_Little_Lies,"January 22, 2006",21.04[23]
Season 2,24,15.0,"""Break on Through""",https://greysanatomy.fandom.com/wiki/Break_on_Through,"January 29, 2006",18.44[24]
Season 2,25,16.0,"""It's the End of the World""",https://greysanatomy.fandom.com/wiki/It%27s_the_End_of_the_World,"February 5, 2006",37.88[25]
,,,,,,
Season 2,27,18.0,"""Yesterday""",https://greysanatomy.fandom.com/wiki/Yesterday,"February 19, 2006",24.36[27]
Season 2,28,19.0,"""What Have I Done to Deserve This?""",https://greysanatomy.fandom.com/wiki/What_Have_I_Done_to_Deserve_This%3F,"February 26, 2006",24.76[28]
Season 2,29,20.0,"""Band-Aid Covers the Bullet Hole""",https://greysanatomy.fandom.com/wiki/Band-Aid_Covers_the_Bullet_Hole,"March 12, 2006",22.51[29]
Season 2,30,21.0,"""Superstition""",https://greysanatomy.fandom.com/wiki/Superstition,"March 19, 2006",21.13[30]
Season 2,31,22.0,"""The Name of the Game""",https://greysanatomy.fandom.com/wiki/The_Name_of_the_Game,"April 2, 2006",22.35[31]
Season 2,32,23.0,"""Blues for Sister Someone""",https://greysanatomy.fandom.com/wiki/Blues_for_Sister_Someone,"April 30, 2006",20.76[32]
Season 2,33,24.0,"""Damage Case""",https://greysanatomy.fandom.com/wiki/Damage_Case,"May 7, 2006",21.99[33]
Season 2,34,25.0,"""17 Seconds""",https://greysanatomy.fandom.com/wiki/17_Seconds,"May 14, 2006",22.60[34]
Season 2,35,26.0,"""Deterioration of the Fight or Flight Response""",https://greysanatomy.fandom.com/wiki/Deterioration_of_the_Fight_or_Flight_Response,"May 15, 2006",22.50[35]
,,,,,,
Season 3,37,1.0,"""Time Has Come Today""",https://greysanatomy.fandom.com/wiki/Time_Has_Come_Today,"September 21, 2006",25.41[37]
Season 3,38,2.0,"""I Am a Tree""",https://greysanatomy.fandom.com/wiki/I_Am_a_Tree,"September 28, 2006",23.48[38]
Season 3,39,3.0,"""Sometimes a Fantasy""",https://greysanatomy.fandom.com/wiki/Sometimes_a_Fantasy,"October 5, 2006",22.80[39]
Season 3,40,4.0,"""What I Am""",https://greysanatomy.fandom.com/wiki/What_I_Am,"October 12, 2006",22.88[40]
Season 3,41,5.0,"""Oh, the Guilt""","https://greysanatomy.fandom.com/wiki/Oh,_the_Guilt","October 19, 2006",22.05[41]
,,,,,,
,,,,,,
Season 3,44,8.0,"""Staring at the Sun""",https://greysanatomy.fandom.com/wiki/Staring_at_the_Sun,"November 16, 2006",20.92[44]
Season 3,45,9.0,"""From a Whisper to a Scream""",https://greysanatomy.fandom.com/wiki/From_a_Whisper_to_a_Scream,"November 23, 2006",18.51[45]
Season 3,46,10.0,"""Don't Stand So Close to Me""",https://greysanatomy.fandom.com/wiki/Don%27t_Stand_So_Close_to_Me,"November 30, 2006",24.01[46]
Season 3,47,11.0,"""Six Days, Part 1""","https://greysanatomy.fandom.com/wiki/Six_Days,_Part_1","January 11, 2007",23.03[47]
Season 3,48,12.0,"""Six Days, Part 2""","https://greysanatomy.fandom.com/wiki/Six_Days,_Part_2","January 18, 2007",21.94[48]
Season 3,49,13.0,"""Great Expectations""",https://greysanatomy.fandom.com/wiki/Great_Expectations,"January 25, 2007",21.50[49]
Season 3,50,14.0,"""Wishin' and Hopin'""",https://greysanatomy.fandom.com/wiki/Wishin%27_and_Hopin%27,"February 1, 2007",24.18[50]
,,,,,,
Season 3,52,16.0,"""Drowning on Dry Land""",https://greysanatomy.fandom.com/wiki/Drowning_on_Dry_Land,"February 15, 2007",25.76[52]
,,,,,,
Season 3,54,18.0,"""Scars and Souvenirs""",https://greysanatomy.fandom.com/wiki/Scars_and_Souvenirs,"March 15, 2007",22.68[54]
Season 3,55,19.0,"""My Favorite Mistake""",https://greysanatomy.fandom.com/wiki/My_Favorite_Mistake,"March 22, 2007",22.30[55]
Season 3,56,20.0,"""Time After Time""",https://greysanatomy.fandom.com/wiki/Time_After_Time,"April 19, 2007",21.12[56]
Season 3,57,21.0,"""Desire""",https://greysanatomy.fandom.com/wiki/Desire,"April 26, 2007",20.08[57]
,,,,,,
,,,,,,
Season 3,60,24.0,"""Testing 1-2-3""",https://greysanatomy.fandom.com/wiki/Testing_1-2-3,"May 10, 2007",19.58[60]
,,,,,,
,,,,,,
,,,,,,
Season 4,64,3.0,"""Let the Truth Sting""",https://greysanatomy.fandom.com/wiki/Let_the_Truth_Sting,"October 11, 2007",19.04[64]
,,,,,,
,,,,,,
Season 4,67,6.0,"""Kung Fu Fighting""",https://greysanatomy.fandom.com/wiki/Kung_Fu_Fighting,"November 1, 2007",19.31[67]
Season 4,68,7.0,"""Physical Attraction... Chemical Reaction""",https://greysanatomy.fandom.com/wiki/Physical_Attraction..._Chemical_Reaction,"November 8, 2007",19.50[68]
Season 4,69,8.0,"""Forever Young""",https://greysanatomy.fandom.com/wiki/Forever_Young,"November 15, 2007",19.61[69]
,,,,,,
,,,,,,
Season 4,72,11.0,"""Lay Your Hands on Me""",https://greysanatomy.fandom.com/wiki/Lay_Your_Hands_on_Me,"January 10, 2008",17.68[72]
Season 4,73,12.0,"""Where the Wild Things Are""",https://greysanatomy.fandom.com/wiki/Where_the_Wild_Things_Are,"April 24, 2008",16.37[73]
Season 4,74,13.0,"""Piece of My Heart""",https://greysanatomy.fandom.com/wiki/Piece_of_My_Heart,"May 1, 2008",15.31[74]
Season 4,75,14.0,"""The Becoming""",https://greysanatomy.fandom.com/wiki/The_Becoming,"May 8, 2008",16.03[75]
,,,,,,
,,,,,,
Season 4,78,17.0,"""Freedom, Part 2""","https://greysanatomy.fandom.com/wiki/Freedom,_Part_2","May 22, 2008",18.09[78]
