Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions)
Season 1,1,1,"""A Hard Day's Night""",https://greysanatomy.fandom.com/wiki/A_Hard_Day%27s_Night,"March 27, 2005",16.25
Season 1,2,2,"""The First Cut Is the Deepest""",https://greysanatomy.fandom.com/wiki/The_First_Cut_Is_the_Deepest,"April 3, 2005",17.71
Season 1,3,3,"""Winning a Battle, Losing the War""","https://greysanatomy.fandom.com/wiki/Winning_a_Battle,_Losing_the_War","April 10, 2005",17.99
Season 1,4,4,"""No Man's Land""",https://greysanatomy.fandom.com/wiki/No_Man%27s_Land,"April 17, 2005",19.18
Season 1,5,5,"""Shake Your Groove Thing""",https://greysanatomy.fandom.com/wiki/Shake_Your_Groove_Thing,"April 24, 2005",17.9
Season 1,6,6,"""If Tomorrow Never Comes""",https://greysanatomy.fandom.com/wiki/If_Tomorrow_Never_Comes,"May 1, 2005",17.88
Season 1,7,7,"""The Self-Destruct Button""",https://greysanatomy.fandom.com/wiki/The_Self-Destruct_Button,"May 8, 2005",18.86
Season 1,8,8,"""Save Me""",https://greysanatomy.fandom.com/wiki/Save_Me,"May 15, 2005",18.33
Season 1,9,9,"""Who's Zoomin' Who?""",https://greysanatomy.fandom.com/wiki/Who%27s_Zoomin%27_Who%3F,"May 22, 2005",22.22
Season 2,10,1,"""Raindrops Keep Falling On My Head""",https://greysanatomy.fandom.com/wiki/Raindrops_Keep_Falling_On_My_Head,"September 25, 2005",18.98
Season 2,11,2,"""Enough is Enough""",https://greysanatomy.fandom.com/wiki/Enough_is_Enough,"October 2, 2005",17.57
Season 2,12,3,"""Make Me Lose Control""",https://greysanatomy.fandom.com/wiki/Make_Me_Lose_Control,"October 9, 2005",18.12
Season 2,13,4,"""Deny, Deny, Deny""","https://greysanatomy.fandom.com/wiki/Deny,_Deny,_Deny","October 16, 2005",18.28
Season 2,14,5,"""Bring the Pain""",https://greysanatomy.fandom.com/wiki/Bring_the_Pain,"October 23, 2005",18.0
Season 2,15,6,"""Into You Like a Train""",https://greysanatomy.fandom.com/wiki/Into_You_Like_a_Train,"October 30, 2005",16.67
Season 2,16,7,"""Something to Talk About""",https://greysanatomy.fandom.com/wiki/Something_to_Talk_About,"November 6, 2005",18.13
Season 2,17,8,"""Let It Be""",https://greysanatomy.fandom.com/wiki/Let_It_Be,"November 13, 2005",19.74
Season 2,18,9,"""Thanks for the Memories""",https://greysanatomy.fandom.com/wiki/Thanks_for_the_Memories,"November 20, 2005",20.33
Season 2,19,10,"""Much too Much""",https://greysanatomy.fandom.com/wiki/Much_too_Much,"November 27, 2005",19.59
Season 2,20,11,"""Owner of a Lonely Heart""",https://greysanatomy.fandom.com/wiki/Owner_of_a_Lonely_Heart,"December 4, 2005",20.59
Season 2,21,12,"""Grandma Got Run Over By a Reindeer""",https://greysanatomy.fandom.com/wiki/Grandma_Got_Run_Over_By_a_Reindeer,"December 11, 2005",15.7
Season 2,22,13,"""Begin the Begin""",https://greysanatomy.fandom.com/wiki/Begin_the_Begin,"January 15, 2006",18.97
Season 2,23,14,"""Tell Me Sweet Little Lies""",https://greysanatomy.fandom.com/wiki/Tell_Me_Sweet_Little_Lies,"January 22, 2006",21.04
Season 2,24,15,"""Break on Through""",https://greysanatomy.fandom.com/wiki/Break_on_Through,"January 29, 2006",18.44
