Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions),Short Summary
Season 1,1,1,"""A Hard Day's Night""",https://greysanatomy.fandom.com/wiki/A_Hard_Day%27s_Night,"March 27, 2005",16.25,"Meredith Grey, Izzie Stevens, George O'Malley, Cristina Yang, and Alex Karev become interns at Seattle Grace Hospital. Meredith discovers that her one night stand was actually with one of her bosses and she and her new friends discover that being a surgeon isn't as easy or fun as they thought it would be."
Season 1,2,2,"""The First Cut Is the Deepest""",https://greysanatomy.fandom.com/wiki/The_First_Cut_Is_the_Deepest,"April 3, 2005",17.71,George and Izzie move in with Meredith. Burke works harder to become the next Chief and takes Webber's advice to start going the extra mile for patients. Derek helps a rape victim while Meredith carries around the rapist's penis. Alex Karev becomes one of Bailey's interns and shadows Cristina for the day.
Season 1,3,3,"""Winning a Battle, Losing the War""","https://greysanatomy.fandom.com/wiki/Winning_a_Battle,_Losing_the_War","April 10, 2005",17.99,"A bike race injures several people, one of whom is left brain dead. Cristina and Izzie want to use his organs for organ donation, but they find the organ harvesting process an emotional one. Meanwhile, George deals with an over-flirtatious patient, and Meredith has to deal with Izzie and George moving in, Alex showing off, and keeping Derek at arm's length."
Season 1,4,4,"""No Man's Land""",https://greysanatomy.fandom.com/wiki/No_Man%27s_Land,"April 17, 2005",19.18,"Cristina's encounter with Ellis Grey's former scrub nurse, who is now a patient at Seattle Grace, changes her forever. George becomes infuriated when he realizes that Izzie and Meredith treat him like their sister. An old part of Izzie's life will be revealed which makes her the subject of hospital gossip and Derek, Meredith, George and Alex have a patient with nails in his head."
Season 1,5,5,"""Shake Your Groove Thing""",https://greysanatomy.fandom.com/wiki/Shake_Your_Groove_Thing,"April 24, 2005",17.9,"Meredith realizes she could be sued for making a mistake on a surgery. Her life gets more hectic hiding her mother's secret. George finds a towel in a patient, Izzie throws a party and Bailey catches Meredith having sex with Derek."
Season 1,6,6,"""If Tomorrow Never Comes""",https://greysanatomy.fandom.com/wiki/If_Tomorrow_Never_Comes,"May 1, 2005",17.88,"All of the interns are in awe when a woman comes in with a record breaking tumor, but it is so far advanced that the woman's prognosis is not good. Now that Bailey knows about Meredith and Derek's affair, their jobs are in jeopardy, and she strongly advises Meredith to end it. Meanwhile, Cristina and Burke's secret relationship gets more complicated, and when no one else can be reached, Izzie has to perform a major procedure on her own."
Season 1,7,7,"""The Self-Destruct Button""",https://greysanatomy.fandom.com/wiki/The_Self-Destruct_Button,"May 8, 2005",18.86,"Cristina discovers she is pregnant. George finds out the anesthesiologist has been drinking on the job, but when he tells Shepherd he is thrown out of surgery. George and Izzie catch Derek leaving the house in the morning after he sleeps with Meredith, and when asked who it was, Meredith says it's no one they know. Izzie and George think Meredith is trying to get Derek to favor her, and try to ice her out."
Season 1,8,8,"""Save Me""",https://greysanatomy.fandom.com/wiki/Save_Me,"May 15, 2005",18.33,"Meredith and Derek grow closer, Alex and Burke argue and perform a risky procedure, Izzie treats a psychic while Cristina treats a pregnant patient."
Season 1,9,9,"""Who's Zoomin' Who?""",https://greysanatomy.fandom.com/wiki/Who%27s_Zoomin%27_Who%3F,"May 22, 2005",22.22,"Burke operates on his friend. George gets syphilis from Olivia, Izzie and Cristina become body snatchers, Meredith finds it harder to look after her mother and Derek operates on Richard's brain while someone from his past crops up."
Season 2,10,1,"""Raindrops Keep Falling On My Head""",https://greysanatomy.fandom.com/wiki/Raindrops_Keep_Falling_On_My_Head,"September 25, 2005",18.98,"Cristina tells Meredith about her pregnancy, Meredith deals with the sudden appearance of Derek's wife Addison, George avoids Alex fearfully, and Joe the bartender is admitted for surgery."
