No. in series,No. in season,Title,Original air date,U.S. viewers (millions)
1,1,A Hard Day's Night,"March 27, 2005",16.25
2,2,The First Cut Is the Deepest,"April 3, 2005",17.71
3,3,"Winning a Battle, Losing the War","April 10, 2005",17.99
4,4,No Man's Land,"April 17, 2005",19.18
5,5,Shake Your Groove Thing,"April 24, 2005",17.90
6,6,If Tomorrow Never Comes,"May 1, 2005",17.88
7,7,The Self-Destruct Button,"May 8, 2005",18.86
8,8,Save Me,"May 15, 2005",18.33
9,9,Who's Zoomin' Who?,"May 22, 2005",22.22
10,1,Raindrops Keep Falling On My Head,"September 25, 2005",18.98
11,2,Enough is Enough,"October 2, 2005",17.57
12,3,Make Me Lose Control,"October 9, 2005",18.12
13,4,"Deny, Deny, Deny","October 16, 2005",18.28
14,5,Bring the Pain,"October 23, 2005",18.00
15,6,Into You Like a Train,"October 30, 2005",16.67
16,7,Something to Talk About,"November 6, 2005",18.13
17,8,Let It Be,"November 13, 2005",19.74
18,9,Thanks for the Memories,"November 20, 2005",20.33
19,10,Much too Much,"November 27, 2005",19.59
20,11,Owner of a Lonely Heart,"December 4, 2005",20.59
21,12,Grandma Got Run Over By a Reindeer,"December 11, 2005",15.70
22,13,Begin the Begin,"January 15, 2006",18.97
23,14,Tell Me Sweet Little Lies,"January 22, 2006",21.04
24,15,Break on Through,"January 29, 2006",18.44
25,16,It's the End of the World,"February 5, 2006",37.88
26,17,As We Know It,"February 12, 2006",25.42
27,18,Yesterday,"February 19, 2006",24.36
28,19,What Have I Done to Deserve This?,"February 26, 2006",24.76
29,20,Band-Aid Covers the Bullet Hole,"March 12, 2006",22.51
30,21,Superstition,"March 19, 2006",21.13
31,22,The Name of the Game,"April 2, 2006",22.35
32,23,Blues for Sister Someone,"April 30, 2006",20.76
33,24,Damage Case,"May 7, 2006",21.99
34,25,17 Seconds,"May 14, 2006",22.60
35,26,Deterioration of the Fight or Flight Response,"May 15, 2006",22.50
36,27,Losing My Religion,"May 15, 2006",22.50
37,1,Time Has Come Today,"September 21, 2006",25.41
38,2,I Am a Tree,"September 28, 2006",23.48
39,3,Sometimes a Fantasy,"October 5, 2006",22.80
40,4,What I Am,"October 12, 2006",22.88
41,5,"Oh, the Guilt","October 19, 2006",22.05
42,6,Let the Angels Commit,"November 2, 2006",21.02
43,7,Where the Boys Are,"November 9, 2006",20.65
44,8,Staring at the Sun,"November 16, 2006",20.92
45,9,From a Whisper to a Scream,"November 23, 2006",18.51
46,10,Don't Stand So Close to Me,"November 30, 2006",24.01
